name,address,title,rating,review_count,distance
Coqbull,49-50 Thomas Street,Burgers,4.5,19,193.89062383860423
The Locke Bar,3 George's Quay,Bars,4.5,158,576.1107652663666
Cornstore,19 Thomas St,Seafood,4.5,41,269.802436438805
The Curragower,Clancy Strand,Seafood,4.5,112,540.6180055923606
Hamptons,The Savoy Hotel,Irish,4.0,26,65.80369815427336
Da Vincenzo Food and Wine Hall,1st Floor,Pizza,4.5,16,160.2502438721605
House Limerick,Howley's Quay,Cocktail Bars,4.5,12,158.12781952810775
Aroi,1 O'Connell Street,Asian Fusion,4.5,24,207.5908043517663
Jasmine Palace,O'Connell Street,Chinese,4.5,17,214.17618434565134
Freddy's Bistro,Theatre Lane,Irish,4.5,23,305.87848273633847
The Copper Room,100 O'Connell Street,Wine Bars,5.0,10,252.23593879204367
Hook & Ladder,7 Sarsfield Street,Cooking Schools,4.5,24,68.43463238418185
Taikichi,35 O'Connell Street,Japanese,4.0,19,178.10779418793865
Arabica Coffee,Shannon Street,Breakfast & Brunch,4.5,12,92.35759897868289
The Buttery Kitchen,10 Bedford Row,Cafes,4.5,49,32.99608746587087
Bella Italia,43 Thomas Street,Italian,4.5,18,262.47494366217154
Glen Tavern,1-2 Lower Glentworth St,Pubs,4.5,16,303.0300386743195
Abrakebabra,119 O'Connell Street,Fast Food,4.0,10,107.85270017710023
Dolans Pub & Restaurant,3-4 Dock Road,Pubs,4.5,50,825.4002755319494
Flannerys Bar,17 Upper Denmark Street,Pubs,4.5,8,355.44998955562335
