name,address,title,rating,review_count,distance
The Locke Bar,3 George's Quay,Bars,4.5,158,243.42670052210394
The Curragower,Clancy Strand,Seafood,4.5,112,666.3935211852206
Cornstore,19 Thomas St,Seafood,4.5,41,627.4275644804259
Coqbull,49-50 Thomas Street,Burgers,4.5,19,677.0170895354053
Aroi,1 O'Connell Street,Asian Fusion,4.5,24,547.2253436403446
Hamptons,The Savoy Hotel,Irish,4.0,26,815.9929649982822
Da Vincenzo Food and Wine Hall,1st Floor,Pizza,4.5,16,825.0028196857339
Katie Daly's Heritage Pub & Kitchen,The Parade,Irish Pub,5.0,16,569.9428429894261
Freddy's Bistro,Theatre Lane,Irish,4.5,23,994.5376157895884
House Limerick,Howley's Quay,Cocktail Bars,4.5,12,912.0398132657372
Jasmine Palace,O'Connell Street,Chinese,4.5,17,868.3941112793368
The Copper Room,100 O'Connell Street,Wine Bars,5.0,10,922.4110395626183
Flannerys Bar,17 Upper Denmark Street,Pubs,4.5,8,505.62587743244916
Hook & Ladder,7 Sarsfield Street,Cooking Schools,4.5,24,692.2897492912351
Poppodom,Robert Street,Vegetarian,4.5,10,462.67465694314365
King John's Castle,Nicholas Street,Landmarks & Historical Buildings,4.0,44,600.6313024494182
Glen Tavern,1-2 Lower Glentworth St,Pubs,4.5,16,1001.6709635096256
Taikichi,35 O'Connell Street,Japanese,4.0,19,810.4307072224069
"Nelly's Corner Cafe, Restaurant and Bar",46 Nicholas Street,Cafes,5.0,10,327.89259138150976
Azur Restaurant,8 Georges Quay,Irish,4.5,7,296.63527929474077
