name,address,title,rating,review_count,distance
The Locke Bar,3 George's Quay,Bars,4.5,158,209.53438432368606
The Curragower,Clancy Strand,Seafood,4.5,112,469.4472914636667
Katie Daly's Heritage Pub & Kitchen,The Parade,Irish Pub,5.0,16,298.79628207822026
Cornstore,19 Thomas St,Seafood,4.5,41,740.4746191702079
Coqbull,49-50 Thomas Street,Burgers,4.5,19,761.8995559769113
Aroi,1 O'Connell Street,Asian Fusion,4.5,24,578.7503732001582
"Nelly's Corner Cafe, Restaurant and Bar",46 Nicholas Street,Cafes,5.0,10,134.70480179773193
Hamptons,The Savoy Hotel,Irish,4.0,26,832.4330534991799
Da Vincenzo Food and Wine Hall,1st Floor,Pizza,4.5,16,882.9216708026678
King John's Castle,Nicholas Street,Landmarks & Historical Buildings,4.0,44,347.5306408874817
Freddy's Bistro,Theatre Lane,Irish,4.5,23,1054.680757108479
House Limerick,Howley's Quay,Cocktail Bars,4.5,12,920.1647715776461
Jasmine Palace,O'Connell Street,Chinese,4.5,17,935.3515040022604
The Copper Room,100 O'Connell Street,Wine Bars,5.0,10,987.3144179336165
Azur Restaurant,8 Georges Quay,Irish,4.5,7,212.08803957348502
Hook & Ladder,7 Sarsfield Street,Cooking Schools,4.5,24,698.2090224710145
Glen Tavern,1-2 Lower Glentworth St,Pubs,4.5,16,1056.8290717134328
Taikichi,35 O'Connell Street,Japanese,4.0,19,878.2738816385495
Flannerys Bar,17 Upper Denmark Street,Pubs,4.5,8,644.4659147828755
Poppodom,Robert Street,Vegetarian,4.5,10,582.0140031624493
