name,address,category,rating,main.latitude,main.longitude
The Locke Bar & Oyster House,"Limerick, Co Limerick",Pub,8.9,52.666203,-8.618525
Tuscany Bistro - The Granary,"Limerick, Co Limerick",Other Great Outdoors,7.9,52.66618,-8.618727
The Milk Market,"3 Georges Quay, Limerick, Co Limerick",Pub,8.8,52.667201,-8.623122
The Hunt Museum,"Limerick, Co Limerick",Restaurant,8.3,52.66635,-8.622751
Bon Appétit,"Cornmarket Row, Limerick, Co Limerick",Café,7.9,52.667145,-8.619336
AZUR Restaurant,"Rutland St, Limerick, Co Limerick",Farmers' Market,6.9,52.663678,-8.622205
Cobblestone Joe's,"John St, Limerick, Co Limerick",Museum,7.9,52.666454,-8.624336
Mother Macs,"Unit 3, Limerick",Liquor Store,8.4,52.667196,-8.619544
Nancy Blakes,"8 Georges Quay, Limerick, Co Limerick",French Restaurant,7.9,52.663465,-8.622114
Papa'z Bistro,"Little Ellen St, Limerick, Co Limerick",Seafood Restaurant,7.6,52.667117,-8.622875
Aroi Asian Street Food,"High St, Limerick, Co Limerick",Credit Union,7.9,52.665517,-8.620188
King John's Castle,"19 Upper Denmark St, Limerick, Co Limerick",Arts and Entertainment,8.0,52.664565,-8.624272
Cornstore,"denmark St, Limerick, Co Limerick",Pub,8.8,52.662899,-8.622191
