name,address,category,rating,main.latitude,main.longitude
The Locke Bar & Oyster House,3 Georges Quay,Pub,8.9,52.667201,-8.623122
King John's Castle,"Nicholas St, King's Island",Building / Structure,8.0,52.669764,-8.625163
The Hunt Museum,Rutland St,Museum,8.3,52.667117,-8.622875
AZUR Restaurant,8 Georges Quay,Seafood Restaurant,6.9,52.664329,-8.625915
Curragower Pub Limerick,"The Curragower Pub, Clancys Strand",Bar,9.1,52.663678,-8.622205
Cobblestone Joe's,Little Ellen St,Arts and Entertainment,7.9,52.663537,-8.623994
The Milk Market,Cornmarket Row,Farmers' Market,8.8,52.663465,-8.622114
Bon Appétit,Unit 3,French Restaurant,7.9,52.664282,-8.624311
