name,address,category,rating,main.latitude,main.longitude
The Locke Bar & Oyster House,3 Georges Quay,Pub,8.9,52.667201,-8.623122
The Hunt Museum,Rutland St,Museum,8.3,52.666454,-8.624336
Curragower Pub Limerick,"The Curragower Pub, Clancys Strand",Bar,9.1,52.668461,-8.627883
King John's Castle,"Nicholas St, King's Island",Building / Structure,8.0,52.669764,-8.625163
AZUR Restaurant,8 Georges Quay,Seafood Restaurant,6.9,52.667117,-8.622875
Cobblestone Joe's,Little Ellen St,Arts and Entertainment,7.9,52.664565,-8.624272
Aroi Asian Street Food,1 O'Connell St,Asian Restaurant,7.9,52.664329,-8.625915
Tesco,Arthur S Qy,Grocery Store / Supermarket,6.7,52.665376,-8.625515
The Milk Market,Cornmarket Row,Farmers' Market,8.8,52.663678,-8.622205
Papa'z Bistro,denmark St,Bistro,7.6,52.663907,-8.624679
Hook & Ladder,7 Sarsfield St,Café,7.9,52.664201,-8.628079
The Red Hen,15 Patrick St,Bar,6.8,52.664715,-8.625445
Nancy Blakes,19 Upper Denmark St,Beer Bar,7.9,52.663537,-8.623994
Bon Appétit,Unit 3,French Restaurant,7.9,52.663465,-8.622114
The Old Quarter,3 Little Ellen St,Lounge,6.9,52.664282,-8.624311
